Detector Type,Descriptor Type,Frame ID,Lidar-Based TTC [ms],Camera-Based TTC [ms]
AKAZE,AKAZE,9,13.02411806,17.62437764
AKAZE,AKAZE,10,11.17464148,13.90096890
AKAZE,AKAZE,11,12.80860114,13.56412403
AKAZE,AKAZE,12,8.95978042,12.09176475
AKAZE,AKAZE,13,9.96439004,11.08474156
AKAZE,AKAZE,14,9.59862989,13.01611552
AKAZE,AKAZE,15,8.52156620,13.23490015
AKAZE,AKAZE,16,9.51552489,11.98802247
AKAZE,AKAZE,17,9.61241487,10.30410056

AKAZE,SIFT,0,0.00000000,0.00000000
AKAZE,SIFT,1,12.51559999,12.45190203
AKAZE,SIFT,2,12.61424528,17.92272374
AKAZE,SIFT,3,14.09101251,15.22435706
AKAZE,SIFT,4,16.68938579,15.76436281
AKAZE,SIFT,5,15.74654436,17.44977824
AKAZE,SIFT,6,12.78349116,19.56416752
AKAZE,SIFT,7,11.98435083,15.47444369
AKAZE,SIFT,8,13.12411806,17.34535532
AKAZE,SIFT,9,13.02411806,16.62456666
AKAZE,SIFT,10,11.17464148,12.41832401
AKAZE,SIFT,11,12.80860114,13.06511303
AKAZE,SIFT,12,8.95978042,11.70328313
AKAZE,SIFT,13,9.96439004,13.71949597
AKAZE,SIFT,14,9.59862989,13.29385999
AKAZE,SIFT,15,8.52156620,14.28655391
AKAZE,SIFT,16,9.51552489,9.89602831
AKAZE,SIFT,17,9.61241487,10.73723698

SIFT,BRISK,0,0.00000000,0.00000000
SIFT,BRISK,1,12.51559999,11.59171107
SIFT,BRISK,2,12.61424528,13.05343562
SIFT,BRISK,3,14.09101251,13.54396380
SIFT,BRISK,4,16.68938579,23.14746663
SIFT,BRISK,5,15.74654436,15.07248356
SIFT,BRISK,6,12.78349116,18.05369097
SIFT,BRISK,7,11.98435083,14.05220574
